Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,N07059210,ASML ,"881,230","351,161,342.70",0.243,ASML Holding NV,American Depository Receipt - NY,Information Technology,09/02/2020
QQQ,693718108,PCAR ,"3,963,535","348,315,455.80",0.241,PACCAR Inc,Common Stock,Industrials,09/02/2020
QQQ,03662Q105,ANSS ,"981,296","344,032,564.64",0.238,ANSYS Inc,Common Stock,Information Technology,09/02/2020
QQQ,311900104,FAST ,"6,566,997","326,182,740.99",0.226,Fastenal Co,Common Stock,Industrials,09/02/2020
QQQ,595017104,MCHP ,"2,812,577","322,574,456.13",0.223,Microchip Technology Inc,Common Stock,Information Technology,09/02/2020
QQQ,704326107,PAYX ,"4,112,439","320,811,366.39",0.222,Paychex Inc,Common Stock,Information Technology,09/02/2020
QQQ,812578102,SGEN ,"1,984,499","309,720,758.93",0.215,Seattle Genetics Inc,Common Stock,Health Care,09/02/2020
QQQ,983919101,XLNX ,"2,787,681","303,466,953.66",0.210,Xilinx Inc,Common Stock,Information Technology,09/02/2020
QQQ,82968B103,SIRI ,"50,203,753","297,708,255.29",0.206,Sirius XM Holdings Inc,Common Stock,Communication Services,09/02/2020
QQQ,83088M102,SWKS ,"1,912,666","293,192,571.14",0.203,Skyworks Solutions Inc,Common Stock,Information Technology,09/02/2020
QQQ,016255101,ALGN ,"902,965","292,948,934.95",0.203,Align Technology Inc,Common Stock,Health Care,09/02/2020
QQQ,92343E102,VRSN ,"1,324,585","291,011,324.50",0.202,VeriSign Inc,Common Stock,Information Technology,09/02/2020
QQQ,60770K107,MRNA ,"4,457,613","288,496,713.36",0.200,Moderna Inc,Common Stock,Health Care,09/02/2020
QQQ,015351109,ALXN ,"2,531,644","288,151,720.08",0.200,Alexion Pharmaceuticals Inc,Common Stock,Health Care,09/02/2020
QQQ,722304102,PDD ,"3,157,654","285,104,579.66",0.197,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,09/02/2020
QQQ,217204106,CPRT ,"2,691,572","282,076,745.60",0.195,Copart Inc,Common Stock,Industrials,09/02/2020
QQQ,156782104,CERN ,"3,489,158","262,489,356.34",0.182,Cerner Corp,Common Stock,Health Care,09/02/2020
QQQ,256746108,DLTR ,"2,719,715","257,557,010.50",0.178,Dollar Tree Inc,Common Stock,Consumer Discretionary,09/02/2020
QQQ,45337C102,INCY ,"2,492,046","237,840,870.24",0.165,Incyte Corp,Common Stock,Health Care,09/02/2020
QQQ,874054109,TTWO ,"1,306,280","225,764,372.40",0.156,Take-Two Interactive Software Inc,Common Stock,Communication Services,09/02/2020
QQQ,57772K101,MXIM ,"3,056,688","216,138,408.48",0.150,Maxim Integrated Products Inc,Common Stock,Information Technology,09/02/2020
QQQ,M22465104,CHKP ,"1,639,240","214,051,959.20",0.148,Check Point Software Technologies Ltd,Common Stock,Information Technology,09/02/2020
QQQ,177376100,CTXS ,"1,415,282","209,178,679.60",0.145,Citrix Systems Inc,Common Stock,Information Technology,09/02/2020
QQQ,12514G108,CDW ,"1,631,584","191,760,067.52",0.133,CDW Corp/DE,Common Stock,Information Technology,09/02/2020
QQQ,89677Q107,TCOM ,"5,995,581","183,464,778.60",0.127,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,09/02/2020
QQQ,09061G101,BMRN ,"2,073,178","161,687,152.22",0.112,BioMarin Pharmaceutical Inc,Common Stock,Health Care,09/02/2020
QQQ,30212P303,EXPE ,"1,552,953","159,860,981.82",0.111,Expedia Group Inc,Common Stock,Consumer Discretionary,09/02/2020
QQQ,90384S303,ULTA ,"645,577","153,427,829.82",0.106,Ulta Beauty Inc,Common Stock,Consumer Discretionary,09/02/2020
QQQ,958102105,WDC ,"3,435,878","133,518,219.08",0.092,Western Digital Corp,Common Stock,Information Technology,09/02/2020
QQQ,35137L105,FOXA ,"3,928,171","109,517,407.48",0.076,Fox Corp,Common Stock,Communication Services,09/02/2020
QQQ,G5480U120,LBTYK ,"4,718,189","108,848,620.23",0.075,Liberty Global PLC,Common Stock,Communication Services,09/02/2020
QQQ,35137L204,FOX ,"2,993,093","83,776,673.07",0.058,Fox Corp,Common Stock,Communication Services,09/02/2020
QQQ,G5480U104,LBTYA ,"2,089,456","49,332,056.16",0.034,Liberty Global PLC,Common Stock,Communication Services,09/02/2020
